Date,Open,High,Low,Close,Adj Close,Volume
1970-06-23,5.639022,5.639022,5.538862,5.538862,1.165385,711360
1970-06-24,5.538862,5.578926,5.448718,5.518830,1.161170,584064
1970-06-25,5.518830,5.568910,5.498798,5.498798,1.156956,239616
1970-06-26,5.488782,5.488782,5.388622,5.398638,1.135881,426816
1970-06-29,5.398638,5.418670,5.368590,5.398638,1.135881,193440
1970-06-30,5.398638,5.468750,5.368590,5.408654,1.137990,279552
1970-07-01,5.408654,5.438702,5.388622,5.428686,1.142204,275808
1970-07-02,5.438702,5.548878,5.438702,5.488782,1.154849,421824
1970-07-06,5.488782,5.558894,5.388622,5.388622,1.133774,328224
1970-07-07,5.388622,5.438702,5.348558,5.388622,1.133774,273312
1970-07-08,5.388622,5.448718,5.368590,5.438702,1.144311,283296
1970-07-09,5.438702,5.478766,5.368590,5.448718,1.146419,399360
1970-07-10,5.568910,5.739183,5.568910,5.739183,1.207533,602784
1970-07-13,5.739183,5.799279,5.729167,5.779247,1.215962,299520
1970-07-14,5.779247,5.779247,5.709135,5.769231,1.213855,307008
1970-07-15,5.769231,5.819311,5.729167,5.789263,1.218069,421824
1970-07-16,5.849359,6.029647,5.849359,6.009615,1.264432,520416
1970-07-17,6.029647,6.139824,6.029647,6.139824,1.291828,557856
1970-07-20,6.139824,6.139824,6.049679,6.079728,1.279184,411840
1970-07-21,6.039663,6.039663,5.919471,5.939503,1.249681,552864
1970-07-22,5.949519,6.039663,5.949519,5.979567,1.258110,298272
1970-07-23,5.979567,6.089744,5.979567,6.089744,1.281291,1139424
1970-07-24,6.089744,6.139824,5.999599,6.139824,1.291828,500448
1970-07-27,6.129808,6.129808,6.039663,6.059696,1.274970,189696
1970-07-28,6.059696,6.119792,6.009615,6.109776,1.285507,341952
1970-07-29,6.119792,6.189904,6.119792,6.179888,1.300258,524160
1970-07-30,6.179888,6.229968,6.159856,6.179888,1.300258,349440
1970-07-31,6.179888,6.250000,6.139824,6.159856,1.296043,607776
1970-08-03,6.109776,6.109776,5.989583,6.009615,1.264432,275808
1970-08-04,6.009615,6.089744,5.939503,6.049679,1.272862,310752
1970-08-05,6.059696,6.139824,6.059696,6.089744,1.281291,277056
1970-08-06,6.079728,6.079728,6.039663,6.039663,1.270753,244608
1970-08-07,6.039663,6.109776,5.979567,6.049679,1.272862,389376
1970-08-10,6.049679,6.059696,5.969551,5.999599,1.262325,200928
1970-08-11,5.999599,5.999599,5.939503,5.959535,1.253896,308256
